0.385	0.806	0.893	0.617	0.524	0.65
0.392	0.804	0.895	0.616	0.522	0.653
0.376	0.824	0.906	0.625	0.537	0.655
0.387	0.853	0.937	0.67	0.523	0.651
0.401	0.895	0.98	0.715	0.509	0.648
0.415	0.911	1.001	0.738	0.517	0.663
0.403	0.887	0.975	0.7	0.556	0.687
0.365	0.846	0.921	0.674	0.544	0.655
0.399	0.832	0.923	0.65	0.553	0.682
0.417	0.804	0.906	0.64	0.539	0.681
0.383	0.892	0.97	0.715	0.582	0.696
0.38	0.946	1.019	0.735	0.617	0.725
0.371	0.923	0.994	0.7	0.62	0.722
0.32	0.905	0.96	0.637	0.656	0.73
0.334	0.837	0.901	0.621	0.592	0.68
0.351	0.81	0.883	0.617	0.569	0.668
0.286	0.824	0.872	0.611	0.572	0.639
0.274	0.831	0.875	0.602	0.577	0.639
0.307	0.821	0.876	0.593	0.582	0.658
0.391	0.835	0.922	0.55	0.627	0.738
0.464	0.863	0.98	0.579	0.641	0.791
0.525	0.925	1.063	0.623	0.663	0.845
0.581	1.008	1.163	0.718	0.671	0.888
