0.466	0.594	0.606	0.968	0.764
0.438	0.605	0.606	0.962	0.748
0.435	0.604	0.608	0.962	0.748
0.441	0.613	0.627	0.982	0.767
0.453	0.628	0.657	1.016	0.798
0.482	0.612	0.685	1.037	0.837
0.539	0.594	0.694	1.061	0.879
0.560	0.593	0.672	1.056	0.874
0.576	0.583	0.669	1.058	0.883
0.586	0.581	0.666	1.061	0.887
0.607	0.582	0.651	1.064	0.890
0.607	0.605	0.661	1.082	0.897
0.564	0.591	0.619	1.025	0.837
0.522	0.618	0.589	1.000	0.787
0.438	0.615	0.495	0.902	0.661
0.405	0.679	0.449	0.909	0.604
0.391	0.731	0.433	0.935	0.583
0.387	0.763	0.432	0.958	0.580
0.406	0.791	0.444	0.994	0.601
0.441	0.804	0.447	1.020	0.628
0.482	0.821	0.445	1.051	0.656
