3.7799	0.8000	0.0000	-1.3500	0.1000	-0.0003	0.8024	-1.2158
3.8081	0.8000	0.0000	-1.3500	0.1000	-0.0003	0.7868	-1.2126
4.2673	0.8000	0.0000	-1.4000	0.1000	-0.0003	0.6580	-1.3313
4.7719	0.8000	0.0000	-1.4500	0.1000	-0.0003	0.5718	-1.3958
5.0129	0.8000	0.0000	-1.4500	0.1000	-0.0003	0.5419	-1.4270
5.2413	0.8000	0.0000	-1.4500	0.1000	-0.0003	0.5837	-1.4061
4.9622	0.8000	0.0000	-1.4000	0.1000	-0.0003	0.7217	-1.3255
4.6000	0.8000	0.0000	-1.3500	0.1000	-0.0003	0.9098	-1.2646
4.1906	0.8000	-0.0003	-1.2800	0.1000	-0.0003	1.0371	-1.2148
3.6431	0.8000	-0.0021	-1.1972	0.1000	-0.0003	1.1967	-1.1362
3.2184	0.8000	-0.0059	-1.1330	0.1000	-0.0003	1.2816	-1.0753
2.8715	0.8000	-0.0117	-1.0806	0.1000	-0.0003	1.2935	-1.0255
2.4468	0.8000	-0.0242	-1.0164	0.1000	-0.0004	1.2228	-0.9646
1.8993	0.8000	-0.0419	-0.9336	0.1000	-0.0009	1.0986	-0.8859
1.1277	0.8000	-0.0671	-0.8169	0.1000	-0.0014	0.9761	-0.7753
0.5802	0.8000	-0.0844	-0.7342	0.1000	-0.0019	0.9064	-0.6967
0.1555	0.8000	-0.0988	-0.6700	0.1000	-0.0022	0.8524	-0.6358
-0.1915	0.8000	-0.1106	-0.6400	0.1000	-0.0024	0.8245	-0.5859
-0.7390	0.8000	-0.1292	-0.5800	0.1000	-0.0027	0.8102	-0.5271
-1.1636	0.8000	-0.1419	-0.5400	0.1000	-0.0029	0.8242	-0.5125
-1.5724	0.8000	-0.1486	-0.5000	0.1000	-0.0029	0.8519	-0.5122
-2.2162	0.8000	-0.1533	-0.4600	0.1000	-0.0030	0.9056	-0.5122
-3.1750	0.8000	-0.1533	-0.4000	0.1000	-0.0030	1.0071	-0.5122
